ID,sex,age,address,famsize,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,absences,result
1,F,18,Urban,greater than 3 persons,higher education,higher education,at_home,teacher,course,mother,15 to 30 min.,2 to 5 hours,0,yes,no,no,no,yes,yes,no,good,medium,4,1
2,M,19,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,other,reputation,mother,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,excellent,medium,10,1
3,F,18,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,services,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,very low,10,1
4,F,20,Urban,greater than 3 persons,primary education (4th grade),none,other,other,reputation,mother,15 to 30 min.,less than 2 hours,1,yes,no,no,no,yes,yes,yes,excellent,medium,5,1
5,F,18,Urban,greater than 3 persons,secondary education,5th to 9th grade,services,other,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,no,yes,yes,normal,very low,4,1
6,F,16,Urban,greater than 3 persons,primary education (4th grade),secondary education,at_home,other,other,father,15 to 30 min.,less than 2 hours,0,no,yes,no,no,yes,no,yes,good,medium,11,1
7,F,16,Rural,greater than 3 persons,,5th to 9th grade,other,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,high,0,1
8,F,15,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,services,other,mother,less than 15 min.,less than 2 hours,1,no,yes,no,no,yes,yes,no,good,very low,6,1
9,F,15,Rural,greater than 3 persons,secondary education,secondary education,at_home,other,course,mother,15 to 30 min.,less than 2 hours,0,no,yes,no,no,yes,yes,yes,excellent,high,4,1
10,F,16,Rural,greater than 3 persons,5th to 9th grade,secondary education,at_home,services,course,mother,15 to 30 min.,2 to 5 hours,0,no,no,no,no,yes,yes,no,good,very high,0,1
11,F,15,Rural,3 persons or less,5th to 9th grade,primary education (4th grade),at_home,other,home,mother,15 to 30 min.,less than 2 hours,0,no,no,no,no,yes,no,no,very bad,medium,0,0
12,M,16,Rural,3 persons or less,higher education,higher education,at_home,other,home,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,excellent,medium,5,1
13,M,16,Urban,greater than 3 persons,primary education (4th grade),5th to 9th grade,other,other,other,,less than 15 min.,5 to 10 hours,0,yes,no,no,no,yes,yes,yes,good,high,0,1
